,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
0,MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300932847/,Москва,sale,flat,10,14,1,65.2,-1,0,35000000,Мещанский, Гиляровского,50,Проспект Мира,
1,Voller.one,real_estate_agent,https://www.cian.ru/sale/flat/297643594/,Москва,sale,flat,11,21,1,43.6,-1,0,18000000,Филевский парк,Береговой проезд,5к2,Фили,Фили Град
2,ID 113174200,homeowner,https://www.cian.ru/sale/flat/301362066/,Москва,sale,flat,8,9,1,33.0,-1,0,10540000,Черемушки, Цюрупы,15К3,Новые Черёмушки,
3,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301478863/,Москва,sale,flat,37,37,1,48.0,-1,0,40000000,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
4,Unique,real_estate_agent,https://www.cian.ru/sale/flat/287678758/,Москва,sale,flat,4,26,1,46.0,-1,0,32000000,Очаково-Матвеевское,Нежинская ,5к2,Давыдково,Городские резиденции SPIRES
5,SITRealty,real_estate_agent,https://www.cian.ru/sale/flat/300609717/,Москва,sale,flat,4,7,1,40.0,-1,0,9850000,, Медовая Долина,2,Санино,Баркли Медовая долина
6,Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/293760838/,Москва,sale,flat,18,48,1,42.4,-1,0,19450000,Хорошево-Мневники, Народного Ополчения,15К1,Народное Ополчение,Wellton Towers
7,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/299888104/,Москва,sale,flat,44,65,1,52.0,-1,0,44000000,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
8,ID 96167522,realtor,https://www.cian.ru/sale/flat/298016918/,Москва,sale,flat,3,9,1,30.3,-1,0,6825000,Люблино, Верхние Поля,27С2,Братиславская,
9,ID 413522,realtor,https://www.cian.ru/sale/flat/301734970/,Москва,sale,flat,6,12,1,59.2,-1,0,68000000,Раменки,Мосфильмовская ,1сА,Ломоносовский проспект,Вишневый сад
10,Никита Гаврилов,realtor,https://www.cian.ru/sale/flat/301850597/,Москва,sale,flat,4,12,1,35.2,-1,0,11950000,Царицыно,Кавказский бульвар,11,Кантемировская,
11,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/295758505/,Москва,sale,flat,6,9,1,32.8,-1,0,8900000,Печатники,Шоссейная ,3,Печатники,
12,Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/297087850/,Москва,sale,flat,51,75,1,123.0,-1,0,99000000,Пресненский,1-й Красногвардейский проезд,15,Деловой центр,Меркурий Тауэр
13,ID 73038306,real_estate_agent,https://www.cian.ru/sale/flat/301616082/,Москва,sale,flat,4,9,1,30.1,-1,0,12200000,Перово,2-я Владимирская ,3,Перово,
14,СОВКОМБАНК,official_representative,https://www.cian.ru/sale/flat/297233032/,Москва,sale,flat,12,12,1,39.0,-1,0,9750000,Гольяново,Уральская ,1,Щёлковская,
15,RND,real_estate_agent,https://www.cian.ru/sale/flat/300549135/,Москва,sale,flat,8,11,1,46.4,-1,0,46000000,Дорогомилово,Кутузовский проспект,12,Киевская,Кутузовский XII
16,ID 115757863,homeowner,https://www.cian.ru/sale/flat/301203125/,Москва,sale,flat,9,30,1,38.0,-1,0,14000000,Южнопортовый,Волгоградский проспект,32/5к1,Волгоградский проспект,
17,ID 103991409,homeowner,https://www.cian.ru/sale/flat/301791013/,Москва,sale,flat,1,5,1,31.4,-1,0,9500000,Измайлово,Измайловский бульвар,37,Первомайская,
18,Екатерина Боброва,realtor,https://www.cian.ru/sale/flat/301837625/,Москва,sale,flat,7,12,1,35.0,-1,0,11000000,Лучшая просторная 1 к.кв. в е!1-комн. квартира,35 м²,,,
19,Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/299330003/,Москва,sale,flat,63,66,1,86.0,-1,0,96000000,Пресненский,1-й Красногвардейский проезд,22,Деловой центр,NEVA TOWERS
20,Кремлёвские Ключи,real_estate_agent,https://www.cian.ru/sale/flat/301136222/,Москва,sale,flat,2,6,1,9.6,-1,0,3090000,Северное Измайлово,Сиреневый бульвар,15,Щёлковская,
21,Лофт Инвест,real_estate_agent,https://www.cian.ru/sale/flat/299893948/,Москва,sale,flat,5,16,1,38.9,-1,0,11300000,Отрадное,Алтуфьевское шоссе,2,Владыкино,
22,ID 84856352,homeowner,https://www.cian.ru/sale/flat/301505612/,Москва,sale,flat,5,14,1,34.6,-1,0,13650000,Нагорный,Ялтинская ,8,Севастопольская,
23,ID 10392706,homeowner,https://www.cian.ru/sale/flat/300396782/,Москва,sale,flat,6,9,1,32.5,-1,0,12900000,Черемушки,Новочеремушкинская ,55К1,Профсоюзная,
24,EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/300329807/,Москва,sale,flat,3,18,1,48.0,-1,0,31990000,Раменки, Янковского,1к2,Аминьевская,Событие
25,Юлия Иванова,realtor,https://www.cian.ru/sale/flat/301083049/,Москва,sale,flat,45,52,1,43.1,-1,0,25450000,Хорошево-Мневники, Народного Ополчения,15К1,Народное Ополчение,Wellton Towers
26,Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/300557795/,Москва,sale,flat,5,12,1,35.0,-1,0,14490000,Войковский,3-я Радиаторская ,13,Войковская,
27,Estes,real_estate_agent,https://www.cian.ru/sale/flat/300647536/,Москва,sale,flat,4,12,1,38.7,-1,0,12550000,Нагатино-Садовники,Коломенский проезд,14К1,Каширская,
28,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/298159475/,Москва,sale,flat,3,32,1,35.0,-1,0,19000000,Хорошево-Мневники,Причальный проезд,10к1,Шелепиха,Level Причальный
29,Ольга Троицкая,realtor,https://www.cian.ru/sale/flat/299702158/,Москва,sale,flat,3,16,1,39.0,-1,0,7100000,, Дмитрия Кабалевского,20,Ватутинки,
30,do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/300136415/,Москва,sale,flat,12,14,1,54.5,-1,0,35700000,Пресненский, Малая Грузинская,28,Краснопресненская,
31,Ольга Локтева,realtor,https://www.cian.ru/sale/flat/301847378/,Москва,sale,flat,6,16,1,38.0,-1,0,10900000,Восточное Дегунино,Дубнинская ,36К3,Бескудниково,
32,ID 95750222,unknown,https://www.cian.ru/sale/flat/300989405/,Москва,sale,flat,6,9,1,33.0,-1,0,14900000,Сокольники, Шумкина,15,Сокольники,
33,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300313530/,Москва,sale,flat,12,17,1,41.6,-1,0,8900000,Косино-Ухтомский,Лухмановская ,15к4,Лухмановская,
34,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299740960/,Москва,sale,flat,15,17,1,34.6,-1,0,9000000,Ясенево, Инессы Арманд,7,Новоясеневская,
35,Жанна Пойтина,realtor,https://www.cian.ru/sale/flat/301791239/,Москва,sale,flat,7,19,1,36.3,-1,0,13999999,Северное Медведково,Широкая ,30,Медведково,Shirokaya
36,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/297263854/,Москва,sale,flat,2,14,1,38.3,-1,0,9300000,Южное Бутово,Изюмская ,49к4,Бутово,
37,Князев и Партнёры,real_estate_agent,https://www.cian.ru/sale/flat/301181308/,Москва,sale,flat,2,2,1,31.4,-1,0,9800000,Текстильщики,Грайвороновская ,4С2,Текстильщики,
38,ID 102468107,homeowner,https://www.cian.ru/sale/flat/300798228/,Москва,sale,flat,11,12,1,38.3,-1,0,12990000,Дмитровский,Дмитровское шоссе,109к1,Яхромская,
39,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/298527999/,Москва,sale,flat,3,9,1,38.7,-1,0,10500000,Перово, Плеханова,26К4,Перово,
40,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299722483/,Москва,sale,flat,6,13,1,26.8,-1,0,10300000,Таганский,Волгоградский проспект,1С1,Пролетарская,
41,ID 114362610,homeowner,https://www.cian.ru/sale/flat/300930286/,Москва,sale,flat,1,22,1,42.0,-1,0,9450000,Зябликово,Шипиловская ,51,Шипиловская,
42,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299776431/,Москва,sale,flat,12,12,1,38.7,-1,0,9200000,Орехово-Борисово Южное,Домодедовская ,38К2,Домодедовская,
